"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID","Species_group","Admitted_date"
"1","4/1/1991","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","49_ANHU","Non-Selasphorus",1991-04-01
"2","3/9/2014","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","4890_ANHU","Non-Selasphorus",2014-03-09
"3","3/28/2011","Died","Lindsey","No","ANHU","Male","adult-like",0,"Spring","window hit","Non-selasphorus spp.","4141_ANHU","Non-Selasphorus",2011-03-28
"4","4/15/1997","Died","Lindsey","No","Selasphorus","Female-like ","adult-like",0,"Spring","found on the ground","Selasphorus spp.","1210_ALHU","Selasphorus",1997-04-15
"5","1/18/2016","Died","malibu","Yes","Selasphorus","Male","adult-like",3,"Winter","found on the ground","Selasphorus spp.","6620_ALHU","Selasphorus",2016-01-18
"6","1/2/2015","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","5144_ANHU","Non-Selasphorus",2015-01-02
"7","4/13/2014","Released","malibu","No","Selasphorus","Female-like ","adult-like",1,"Spring","unknown","Selasphorus spp.","6270_ALHU","Selasphorus",2014-04-13
"8","4/16/2007","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","3257_ANHU","Non-Selasphorus",2007-04-16
"9","5/7/1998","Released","Lindsey","Yes","Selasphorus","unknown","Nestling",0,"Spring","caught by domestic animal","Selasphorus spp.","1408_ALHU","Selasphorus",1998-05-07
"10","6/4/2011","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Summer","unknown","Non-selasphorus spp.","4236_ANHU","Selasphorus",2011-06-04
"11","4/9/2014","Died","malibu","No","BCHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","6087_BCHU","Non-Selasphorus",2014-04-09
"12","4/16/2003","Died","Lindsey","Yes","Selasphorus","Female-like ","adult-like",0,"Spring","found on the ground","Selasphorus spp.","2453_ALHU","Selasphorus",2003-04-16
"13","6/18/2008","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Summer","found on the ground","Non-selasphorus spp.","3529_ANHU","Selasphorus",2008-06-18
"14","10/2/2001","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Fall","unknown","Non-selasphorus spp.","2125_ANHU","Non-Selasphorus",2001-10-02
"15","6/6/2015","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","unknown","Non-selasphorus spp.","5364_ANHU","Non-Selasphorus",2015-06-06
"16","6/5/2014","Released","malibu","Yes","Selasphorus","Female-like ","adult-like",0,"Summer","found on the ground","Selasphorus spp.","6127_ALHU","Selasphorus",2014-06-05
"17","12/11/2009","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Winter","window hit","Non-selasphorus spp.","3837_ANHU","Non-Selasphorus",2009-12-11
"18","6/25/1993","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","502_ANHU","Non-Selasphorus",1993-06-25
"19","6/21/2008","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","3534_ANHU","Non-Selasphorus",2008-06-21
"20","4/24/2010","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","3931_ANHU","Non-Selasphorus",2010-04-24
"21","8/5/1993","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","533_ANHU","Non-Selasphorus",1993-08-05
"22","4/25/1992","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found inside","Non-selasphorus spp.","264_ANHU","Non-Selasphorus",1992-04-25
"23","12/13/2014","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","caught by domestic animal","Non-selasphorus spp.","5140_ANHU","Non-Selasphorus",2014-12-13
"24","3/20/2007","Died","Lindsey","Yes","Selasphorus","Female-like ","adult-like",3,"Spring","window hit","Selasphorus spp.","3226_ALHU","Selasphorus",2007-03-20
"25","11/1/2005","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","found inside","Non-selasphorus spp.","2979_ANHU","Non-Selasphorus",2005-11-01
"26","7/25/1995","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","904_ANHU","Non-Selasphorus",1995-07-25
"27","1/2/1991","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Winter","found on the ground","Non-selasphorus spp.","1_ANHU","Non-Selasphorus",1991-01-02
"28","3/26/2014","Released","malibu","Yes","Selasphorus","Female-like ","adult-like",1,"Spring","unknown","Selasphorus spp.","6268_ALHU","Selasphorus",2014-03-26
"29","6/8/2008","Died","Lindsey","No","ANHU","Male","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","3516_ANHU","Non-Selasphorus",2008-06-08
"30","4/8/2008","Died","Lindsey","No","ANHU","Male","adult-like",0,"Spring","suspect torpor-like state","Non-selasphorus spp.","3460_ANHU","Non-Selasphorus",2008-04-08
"31","6/13/2016","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","unknown","Non-selasphorus spp.","5644_ANHU","Non-Selasphorus",2016-06-13
"32","8/13/1999","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","1701_ANHU","Non-Selasphorus",1999-08-13
"33","4/2/2014","Died","malibu","No","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","6079_ANHU","Non-Selasphorus",2014-04-02
"34","12/30/2015","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Winter","window hit","Selasphorus spp.","6557_ALHU","Selasphorus",2015-12-30
"35","5/8/2016","Died","Lindsey","Yes","ANHU","Male","adult-like",0,"Spring","suspect torpor-like state","Non-selasphorus spp.","5601_ANHU","Non-Selasphorus",2016-05-08
"36","9/24/2016","Died","Lindsey","No","ANHU","Male","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","5715_ANHU","Non-Selasphorus",2016-09-24
"37","2/28/2004","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Winter","nest-related","Non-selasphorus spp.","2622_ANHU","Non-Selasphorus",2004-02-28
"38","1/2/2015","Died","malibu","Yes","ANHU","Male","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","6337_ANHU","Non-Selasphorus",2015-01-02
"39","6/24/1999","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","1674_ANHU","Non-Selasphorus",1999-06-24
"40","5/1/2004","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found inside","Non-selasphorus spp.","2681_ANHU","Non-Selasphorus",2004-05-01
